City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Climate Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index
"Casper, WY",?,?,79.77,61.11,38.47,?,3.51,10.67,12.84
"Cedar Rapids, IA",?,?,59.82,58.33,57.80,?,2.06,15.40,32.83
"Champaign, IL",?,?,59.70,71.99,68.25,?,1.87,12.33,35.06
"Chandler, AZ",205.25,152.05,76.39,75.69,59.92,70.69,3.45,20.00,35.26
"Chapel Hill, NC",?,?,74.34,84.65,85.43,?,2.78,37.50,25.29
"Charleston, SC",182.93,120.64,56.62,69.71,89.94,79.46,3.81,31.44,36.02
"Charleston, WV",?,?,46.06,75.00,77.59,?,2.12,17.00,29.48
"Charlotte, NC",177.42,121.30,52.77,69.21,84.05,76.41,3.72,36.64,35.26
"Charlottesville, VA",?,?,67.86,79.76,79.84,?,4.07,11.00,23.40
"Chattanooga, TN",?,?,46.84,75.62,86.11,?,2.19,23.00,33.46
"Cherry Hill, NJ",?,?,76.75,91.67,74.66,?,?,12.50,43.10
"Chesapeake, VA",?,?,58.82,91.67,84.98,?,1.79,43.33,8.62
"Cheyenne, WY",?,?,80.15,37.50,47.39,?,2.43,5.00,15.47
"Chicago, IL",151.09,133.53,33.69,63.93,66.11,79.23,2.84,42.76,51.95
"Chico, CA",?,?,42.52,69.44,84.85,?,3.68,21.00,37.89
"Chula Vista, CA",?,?,43.70,78.24,97.14,?,?,62.50,66.38
"Cincinnati, OH",176.82,138.10,51.84,68.77,73.24,60.02,7.02,29.18,42.99
"Clarksville, TN",?,?,51.80,51.30,79.71,?,2.61,56.67,7.59
"Clearwater, FL",?,?,62.03,72.72,88.17,?,3.63,35.00,28.63
"Cleveland, OH",167.23,108.00,36.28,80.30,73.11,71.19,1.54,33.74,37.61
"Coeur d'Alene, ID",?,?,76.21,64.74,65.12,?,?,38.50,23.28
"College Park, MD",?,?,50.00,84.72,79.81,?,?,37.50,24.14
"College Station, TX",?,?,63.77,68.33,82.48,?,2.64,14.10,32.59
"Colorado Springs, CO",176.58,122.94,58.06,59.95,51.44,75.42,2.79,26.02,29.10
"Columbia, MD",?,?,74.47,67.59,74.01,?,2.48,22.00,8.62
"Columbia, MO",?,?,56.36,79.63,71.86,?,2.60,15.50,14.04
"Columbia, SC",?,?,47.17,67.48,86.80,?,4.17,25.17,41.97
"Columbus, GA",?,?,27.49,75.00,88.43,?,1.84,14.71,29.05
"Columbus, OH",174.94,118.77,49.38,68.49,71.29,71.33,3.98,31.06,32.67
"Concord, CA",?,?,60.42,77.91,93.22,?,?,23.50,28.02
"Concord, NC",?,?,62.25,47.22,84.25,?,?,43.00,29.02
"Cookeville, TN",?,?,45.59,68.06,77.51,?,4.49,20.00,41.38
"Corpus Christi, TX",?,?,52.08,47.02,81.33,?,2.88,18.00,47.29
"Corvallis, OR",?,?,53.53,44.44,87.65,?,8.13,17.50,31.90
"Costa Mesa, CA",?,?,73.24,77.78,96.71,?,?,11.50,41.93
"Crystal Lake, IL",?,?,88.84,69.44,60.40,?,?,60.00,21.98
"Cumming, GA",?,?,73.03,82.64,83.88,?,?,29.00,47.13
"Dallas, TX",176.24,143.47,48.16,65.75,81.85,74.09,3.35,37.24,44.15
"Danbury, CT",?,?,73.01,80.09,64.39,?,?,15.00,24.14
"Davenport, IA",?,?,46.14,86.11,58.47,?,2.04,16.00,27.33
"Davis, CA",?,?,75.25,80.56,87.11,?,?,35.00,25.86
"Dayton, OH",?,?,38.85,71.17,71.06,?,?,15.57,22.32
"Daytona Beach, FL",?,?,36.20,72.69,87.51,?,4.23,32.20,24.63
"DeLand, FL",?,?,56.76,68.06,88.99,?,?,20.00,23.71
"Deerfield Beach, FL",?,?,61.27,91.20,87.79,?,?,25.40,18.58
"Deltona, FL",?,?,56.84,97.22,87.73,?,3.11,38.00,41.55
"Denton, TX",?,?,54.99,71.30,81.70,?,?,28.25,42.67
"Denver, CO",163.80,127.86,52.96,69.25,56.28,79.91,4.23,36.62,44.61
"Des Moines, IA",?,?,57.64,81.71,61.88,?,2.79,20.52,27.59
"Detroit, MI",139.44,125.82,25.72,63.15,66.03,72.02,1.23,44.19,60.73
"Dothan, AL",?,?,63.92,71.30,89.03,?,1.93,21.67,13.22
"Dover, DE",?,?,72.06,50.00,79.43,?,?,30.00,0.00
"Doylestown, PA",?,?,92.16,75.93,71.65,?,?,30.00,2.59
"Duluth, GA",?,?,53.92,38.89,88.94,?,?,25.00,36.21
"Duluth, MN",?,?,56.05,75.00,46.48,?,2.46,34.29,12.76
"Durham, NC",?,?,45.09,77.75,84.07,?,2.89,22.27,30.37
"East Providence, RI",?,?,63.24,77.78,?,?,?,20.00,27.59
"Eau Claire, WI",?,?,55.15,81.94,41.63,?,2.89,10.67,18.51
"Edison, NJ",?,?,62.68,86.11,76.49,?,?,54.33,29.74
"El Cajon, CA",?,?,58.82,87.50,93.57,?,?,20.00,50.00
"El Centro, CA",?,?,45.34,5.56,49.36,?,?,25.00,44.68
"El Paso, TX",187.52,140.69,68.82,62.21,72.05,65.59,2.22,25.92,45.49
"Elko, NV",?,?,65.00,30.56,?,?,2.02,4.00,12.50
"Elmira, NY",?,?,30.39,27.78,?,?,0.65,30.00,12.07
"Encinitas, CA",?,?,89.41,94.44,97.15,?,?,20.00,19.83
"Erie, PA",?,?,45.17,61.11,67.08,?,2.44,20.00,62.41
"Escondido, CA",?,?,43.14,80.56,?,?,?,37.50,23.28
"Eugene, OR",181.93,110.48,50.09,71.46,87.31,72.73,5.40,22.85,31.35
"Eureka, CA",?,?,29.96,38.49,95.62,?,4.49,15.00,10.34
"Evanston, IL",?,?,62.50,77.78,?,?,?,29.00,18.10
"Evansville, IN",?,?,55.88,77.78,77.44,?,2.37,24.60,34.94
"Everett, WA",?,?,38.79,81.67,89.50,?,?,49.50,31.51
"Fairbanks, AK",?,?,59.45,66.90,-3.84,?,1.74,13.67,24.58
"Fairfax, VA",?,?,77.91,83.44,77.11,?,2.46,41.20,24.03
"Fairfield, CA",?,?,43.87,100.00,92.56,?,3.14,24.00,26.15
"Fairfield, CT",?,?,47.11,81.94,74.11,?,?,24.00,41.09
"Fargo, ND",?,?,55.77,57.78,32.61,?,2.17,22.60,4.44
"Farmington Hills, MI",?,?,70.83,76.39,65.31,?,2.06,25.00,22.41
"Farmington, NM",?,?,19.12,26.39,53.43,?,?,15.00,12.76
"Fayetteville, AR",?,?,68.23,57.58,76.38,?,2.96,17.00,11.82
"Fayetteville, NC",?,?,25.31,72.78,85.52,?,2.61,27.83,53.86
